fullName,electionsName,registrationDocumentDate,registrationDocumentId,birthDate,birthPlace,nationality,residencePeriod,education,occupation,party,residencePlace,nominatedBy,assetsDeclarationUrl
Кравчук Леонід Макарович,presidential1991,,,10.01.1934,"Великий Житин, Волинське воєводство, Польща",громадянин УРСР,,,,,Київ,Самовисування,
Чорновіл В'ячеслав Максимович,presidential1991,,,24.12.1937,"с. Єрки, Катеринопільський район, Київська область",громадянин УРСР,,,,,Львів,Народний рух України,
Лук'яненко Левко Григорович,presidential1991,,,24.08.1928,"с. Хрипівка, Городнянський район, Чернігівська округа, УСРР, СРСР",громадянин УРСР,,,,,Київ,Республіканська партія України,
Гриньов Володимир Борисович,presidential1991,,,26.07.1945,"Велика Троїця, Шебекинський район, Білгородська область, Російська РФСР",громадянин УРСР,,,,,Київ,Партія демократичного відродження України,
Юхновський Ігор Рафаїлович,presidential1991,,,01.09.1925,"Княгинине, Дубенський повіт, Волинське воєводство, Польська республіка",громадянин УРСР,,,,,Київ,Самовисування,
Табурянський Леопольд Іванович,presidential1991,,,22.07.1940,"Кривий Ріг, Дніпропетровська область, Українська РСР, СРСР СРСР",громадянин УРСР,,,,,Київ,Народна партія,
Балашов Геннадій Вікторович,presidential2019,18.01.2019,69,20.02.1961,м. Дніпропетровськ,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,фізична особа - підприємець,"член Політичної Партії ""5.10""",проживає в місті Києві,"Політична Партія ""5.10""",https://public.nazk.gov.ua/declaration/6847dea6-9e55-4dc5-a8af-7f81a2be5f30
Безсмертний Роман Петрович,presidential2019,04.02.2019,200,15.11.1965,с. Мотижин Макарівського району Київської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"доцент кафедри міжнародних відносин, Київський національний університет культури і мистецтв",безпартійний,проживає в місті Києві,Самовисування,https://public.nazk.gov.ua/declaration/8ced3078-d83b-47a9-a595-edc9aa4d8f74
Богомолець Ольга Вадимівна,presidential2019,18.01.2019,70,22.03.1966,м. Київ,громадянка України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров’я",безпартійна,проживає в місті Києві,Самовисування,https://public.nazk.gov.ua/declaration/5dcafaed-1cf6-4b0f-ba5a-8d85c2af1bde
Богословська Інна Германівна,presidential2019,30.01.2019,152,05.08.1960,м. Харків,громадянка України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"директор, Всеукраїнська громадська організація ""Віче України""",безпартійна,проживає в місті Харкові,cамовисування,https://public.nazk.gov.ua/declaration/001b474b-2cf8-4f11-bdf5-3e519df21c13
Бойко Юрій Анатолійович,presidential2019,22.01.2019,"92, 301",09.10.1958,м. Горлівка Донецької області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК""",проживає в місті Рубіжне Луганської області,cамовисування,https://public.nazk.gov.ua/declaration/b1a5b66f-e314-4004-ac70-396c075d36ec
Бондар Віктор Васильович,presidential2019,04.02.2019,201,05.11.1975,м. Ленінград,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член Партії ""Відродження""",проживає в смт Гостомель міста Ірпінь Київської області,"Партія ""Відродження""",https://public.nazk.gov.ua/declaration/479cf205-3ea8-40da-872a-8068fe4ae927
Ващенко Олександр Михайлович,presidential2019,07.02.2019,256,04.05.1962,с. Недригайлів Сумської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"Голова Правління, Громадська організація ""Влада народу""",безпартійний,проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/7ee118e7-e23b-44ca-9702-172fc6a741f5
Вілкул Олександр Юрійович,presidential2019,25.01.2019,104,24.05.1974,м. Кривий Ріг Дніпропетровської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,народний депутат України,"член ПОЛІТИЧНОЇ ПАРТІЇ ""ОПОЗИЦІЙНИЙ БЛОК – ПАРТІЯ МИРУ ТА РОЗВИТКУ""",проживає в місті Дніпрі,"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНИЙ БЛОК – ПАРТІЯ МИРУ ТА РОЗВИТКУ""",https://public.nazk.gov.ua/declaration/e7e9d0fa-c59f-42c4-965f-3598b3cb1c46
Габер Микола Олександрович,presidential2019,01.02.2019,162,29.10.1960,с. Марциянове Великомихайлівського району Одеської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,помічник-консультант народного депутата України,член Патріотичної партії України (ППУ),проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/175b580f-288d-4314-b492-59bcd3720c34
Гнап Дмитро Володимирович,presidential2019,08.02.2019,276,19.12.1977,м. Донецьк,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,фізична особа - підприємець Гнап Дмитро Володимирович,"член Політичної партії ""Сила людей""",проживає в місті Києві,"Політична партія ""Сила людей""",https://public.nazk.gov.ua/declaration/005b335a-bdeb-4cb8-9f7f-5b71c0149e30
Гриценко Анатолій Степанович,presidential2019,15.01.2019,62,25.10.1957,с. Богачівка Звенигородського району Черкаської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"доцент кафедри політології, Національний університет ""Києво-Могилянська академія""","член Політичної партії ""Громадянська позиція""",проживає в місті Києві,"Політична партія ""Громадянська позиція""",https://public.nazk.gov.ua/declaration/5357e277-2934-4091-b5e0-4e48ee51f9f8
Данилюк Олександр Володимирович,presidential2019,28.01.2019,128,26.09.1981,м. Київ,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"керівник, Громадська організація ""ЦЕНТР ОБОРОННИХ РЕФОРМ""","член Політичної партії ""Громадянський рух ""Спільна Справа""",проживає в місті Києві,cамовисування,https://public.nazk.gov.ua/declaration/bed167d9-b2cb-44d7-87a4-6c9c80181675
Дерев’янко Юрій Богданович,presidential2019,01.02.2019,163,07.05.1973,м. Надвірна Івано-Франківської області,громадянин України,проживає в Україні протягом останніх десяти років до дня виборів,вища,"народний депутат України, голова підкомітету з питань контролю за дотриманням законодавства у сфері запобігання і протидії корупції органами державної влади та місцевого самоврядування Комітету Верховної Ради України з питань запобігання і протидії корупції","член Політичної партії ""Воля""",проживає в місті Києві,"Політична партія ""Воля""",https://public.nazk.gov.ua/declaration/c0348f06-feb7-49fe-8c10-5983f3c9e884
